docID;Reference;Name;Link;Year;publisherID;typeID
1;;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;;13;4
2;;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;;36;4
3;;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;2023;29;3
4;;AI Toolkit University of Lincoln;https://digitaleducation.lincoln.ac.uk/resourceshub/ai-toolkit/;;43;4
5;;KITT4SME;https://kitt4sme.eu/ ;2023;28;4
6;;Adopting AI Responsibly: Guidelines for Procurement of AI Solutions by the Private Sector;https://www.weforum.org/publications/adopting-ai-responsibly-guidelines-for-procurement-of-ai-solutions-by-the-private-sector/ ;2023;45;3
7;;Turning AI into concrete value: the successful implementers’ toolkit ;https://www.capgemini.com/gb-en/wp-content/uploads/sites/3/2017/09/dti-ai-report_final1-1.pdf;2018;7;4
8;;Copilot adoption kit;https://adoption.microsoft.com/en-us/copilot-commercial-data-protection/;;30;4
9;;AI Toolkit TM Forum;https://www.tmforum.org/resources/toolkit/ai-toolkit/;2021;42;4
10;;Cloud AI Adoption Framework;https://cloud.google.com/resources/cloud-ai-adoption-framework-whitepaper ;;17;2
11;;AI Adoption Strategies;https://www.ctga.ox.ac.uk/files/aiadoptionstrategies-march2019pdf ;2019;8;2
12;;The ultimate guide to AI adoption;https://peak.ai/hub/blog/what-is-ai-adoption/ ;2023;35;3
13;;7 Things Managers and Leaders Can Do to Facilitate a Successful Artificial Intelligence Adoption in Their Organization;https://www.intel.com/content/www/us/en/it-management/intel-it-best-practices/ai-for-managers.html;;21;3
14;;"AI Adoption in the
Business World: Current Trends and
Future Predictions";https://www.pwc.com/il/en/mc/ai_adopion_study.pdf;2023;37;3
15;;AI Guides & Tutorials;https://easywithai.com/guide/;;14;3
16;;AI for Decision Makers;http://proboscis.org.uk/6346/ai-for-decision-makers/;2020;38;4
17;;An Oversight Toolkit for Boards of Directors;https://express.adobe.com/page/RsXNkZANwMLEf/;2020;45;4
18;;The Data Nutrition Project;https://datanutrition.org/;2021;12;4
19;;Challenges and Guidelines for Generative AI in companies;https://almaden.ai/ai/challenges-and-guidelines-for-generative-ai-in-business/;2023;2;3
20;;OECD Framework for Classifying AI Systems;https://oecd.ai/en/classification;2022;33;2
21;;Artificial Intelligence Toolkit Covington;https://www.cov.com/en/topics/artificial-intelligence-toolkit;2021;11;4
22;;Success Factors Impacting Artificial Intelligence Adoption: Perspective from the Telecom Industry in China;10.1080/23270012.2020.1852895;2020;25;2
23;;VERIFAI: A Toolkit for the Formal Design and Analysis of Artificial Intelligence-Based Systems;https://link.springer.com/chapter/10.1007/978-3-030-25540-4_25;2019;10;4
24;;Personas for Artificial Intelligence (AI) an Open Source Toolbox;https://ieeexplore.ieee.org/document/9721903;2022;18;4
25;;From analytics to artificial intelligence;https://www.tandfonline.com/doi/full/10.1080/2573234X.2018.1543535;2018;23;2
26;;An artificial intelligence life cycle: From conception to production;https://www.cell.com/patterns/pdf/S2666-3899(22)00074-5.pdf;2022;34;5
27;;Augmenting human innovation teams with artificial intelligence: Exploring transformer-based language models;https://doi.org/10.1111/jpim.12656;2023;26;2
28;;Artificial Intelligence in Human Resources Management: Challenges and a Path Forward;https://doi.org/10.1177/0008125619867910;2019;6;2
29;;Exploring the Artificial Intelligence Adoption Journey-A Multiple Case Studies Approach ;https://web.archive.org/web/20220802074029id_/https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1187&context=pacis2021;2021;4;1
30;;Understanding artificial intelligence adoption in operations management: insights from the review of academic literature and social media discussions;10.1007/s10479-020-03683-9;2020;3;2
