docID;Name;Link;criterionID;criterion;score
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;A1;Conceptualization;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;A2;Data Preparation & Exploration;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;A3;Model Building and Evaluation;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;A4;Deployment and Monitoring;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;B1;Examples;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;B2;Quick Read;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;B3;Stakeholder Inclusivity;1
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;B4;Feasibility - Capabilities;1
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;B5;Feasibility - Resources;1
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;B6;Recommendations of Techniques;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;B7;Recommendations of Training;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;B8;Evidence of Adoption;1
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C1;Development of dynamic capabilities;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C2;Simple solutions;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C3;Managerial capability development;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C4;Access to financial resources;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C5;Sharing of success stories;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C6;Market regulation & standards;1
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C7;AI Strategy;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C8;Innovation culture;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C9;Data governance;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;C10;Ethical considerations;2
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D1;Management support;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D2;HRM;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D3;R&D;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D4;Inbound logistics;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D5;Production;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D6;Outbound logistics;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D7;Marketing & Sales;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D8;Customer support;0
1;AI Adoption Toolkit;https://apps.digicatapult.org.uk/ai-adoption-toolkit/#section-2 ;D9;Security;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;A1;Conceptualization;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;A2;Data Preparation & Exploration;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;A3;Model Building and Evaluation;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;A4;Deployment and Monitoring;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;B1;Examples;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;B2;Quick Read;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;B3;Stakeholder Inclusivity;1
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;B4;Feasibility - Capabilities;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;B5;Feasibility - Resources;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;B6;Recommendations of Techniques;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;B7;Recommendations of Training;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;B8;Evidence of Adoption;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C1;Development of dynamic capabilities;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C2;Simple solutions;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C3;Managerial capability development;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C4;Access to financial resources;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C5;Sharing of success stories;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C6;Market regulation & standards;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C7;AI Strategy;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C8;Innovation culture;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C9;Data governance;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;C10;Ethical considerations;1
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D1;Management support;1
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D2;HRM;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D3;R&D;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D4;Inbound logistics;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D5;Production;2
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D6;Outbound logistics;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D7;Marketing & Sales;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D8;Customer support;0
2;Generative AI Adoption Toolkit;https://www.pluralsight.com/product/flow/developer-success-lab/dsl-navigate-toolkit ;D9;Security;0
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;A1;Conceptualization;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;A2;Data Preparation & Exploration;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;A3;Model Building and Evaluation;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;A4;Deployment and Monitoring;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;B1;Examples;2
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;B2;Quick Read;1
3;Rewired to Outcompete;https://www.mckinsey.com/capabilities/mckinsey-digital/our-insights/rewired-to-outcompete;B3;Stakeholder Inclusivity;2
